wallet,amount
0x167b61b4a95b4b62776aafe82290a64efa58a51d,2
0x0022505a56190e01336c48a480422ffb4dbdf3fb,2
0x9dd013a324f3088dc8c41bc06700176a4203fe9e,2
0x40747b88ff48b3330d631eb2f87a5a936bdcc5f2,2
0xb56e5b147cca4d4ad6924c0a0799fade15555555,2
0x0a3044dbfeec3a8f8464363d568962734061229b,2
0xcabbcc905412c22cba40a8b6a22ea53f2dac57f9,2
0xe5c476f76ea907e387bbb0576a50a9b6aafb1dda,2
0xfe0b881f969e2cb84430d46252067a6c216eefbb,2
0xde5fb7260d57ba0e4f7f1beab6217f5a6cedfe85,2
0xf6cbf5c66bb63672affb7c71d21853fbdf6f56f4,2
0x61751bc401f4eabe10a238661b4a60ba84910059,2
0xc0ce39a989be28428808907f3b8bc1290e8b95b7,2
0xac992da07e0227d9e999e8a149945b3361ba8043,2
0x58092a35e40d570438ecee7126c9ef9d76666b14,2
